rank_2024_est,place,state,pop_2024_07_01
1,New York,New York,8478072
2,Los Angeles,California,3878704
3,Chicago,Illinois,2721308
4,Houston,Texas,2390125
5,Phoenix,Arizona,1673164
6,Philadelphia,Pennsylvania,1573916
7,San Antonio,Texas,1526656
8,San Diego,California,1404452
9,Dallas,Texas,1326087
10,Jacksonville,Florida,1009833
11,Fort Worth,Texas,1008106
12,San Jose,California,997368
13,Austin,Texas,993588
14,Charlotte,North Carolina,943476
15,Columbus,Ohio,933263
16,Indianapolis city (balance),Indiana,891484
17,San Francisco,California,827526
18,Seattle,Washington,780995
19,Denver,Colorado,729019
20,Oklahoma City,Oklahoma,712919
21,Nashville-Davidson metropolitan government (balance),Tennessee,704963
22,Washington,District of Columbia,702250
23,El Paso,Texas,681723
24,Las Vegas,Nevada,678922
25,Boston,Massachusetts,673458
26,Detroit,Michigan,645705
27,Louisville/Jefferson County metro government (balance),Kentucky,640796
28,Portland,Oregon,635749
29,Memphis,Tennessee,610919
30,Baltimore,Maryland,568271
31,Milwaukee,Wisconsin,563531
32,Albuquerque,New Mexico,560326
33,Tucson,Arizona,554013
34,Fresno,California,550105
35,Sacramento,California,535798
36,Atlanta,Georgia,520070
37,Mesa,Arizona,517151
38,Kansas City,Missouri,516032
39,Raleigh,North Carolina,499825
40,Colorado Springs,Colorado,493554
41,Omaha,Nebraska,489265
42,Miami,Florida,487014
43,Virginia Beach,Virginia,454808
44,Long Beach,California,450901
45,Oakland,California,443554
46,Minneapolis,Minnesota,428579
47,Bakersfield,California,417468
48,Tulsa,Oklahoma,415154
49,Tampa,Florida,414547
50,Arlington,Texas,403672
51,Aurora,Colorado,403130
52,Wichita,Kansas,400991
53,Cleveland,Ohio,365379
54,New Orleans,Louisiana,362701
55,Henderson,Nevada,350039
56,Urban Honolulu,Hawaii,344967
57,Anaheim,California,344561
58,Orlando,Florida,334854
59,Lexington-Fayette urban county,Kentucky,329437
60,Stockton,California,324975
61,Riverside,California,323757
62,Irvine,California,318683
63,Corpus Christi,Texas,317317
64,Newark,New Jersey,317303
65,Santa Ana,California,316184
66,Cincinnati,Ohio,314915
67,Pittsburgh,Pennsylvania,307668
68,St. Paul,Minnesota,307465
69,Greensboro,North Carolina,307381
70,Jersey City,New Jersey,302824
71,Durham,North Carolina,301870
72,Lincoln,Nebraska,300619
73,North Las Vegas,Nevada,294034
74,Plano,Texas,293286
75,Anchorage,Alaska,289600
76,Gilbert,Arizona,288790
77,Madison,Wisconsin,285300
78,Reno,Nevada,281714
79,Chandler,Arizona,281231
80,St. Louis,Missouri,279695
81,Chula Vista,California,278546
82,Buffalo,New York,276617
83,Fort Wayne,Indiana,273203
84,Lubbock,Texas,272086
85,St. Petersburg,Florida,267102
86,Toledo,Ohio,265638
87,Laredo,Texas,261260
88,Port St. Lucie,Florida,258575
89,Glendale,Arizona,258143
90,Irving,Texas,258060
91,Winston-Salem,North Carolina,255769
92,Chesapeake,Virginia,254997
93,Garland,Texas,250431
94,Scottsdale,Arizona,246170
95,Boise City,Idaho,237963
96,Hialeah,Florida,235388
97,Frisco,Texas,235208
98,Richmond,Virginia,233655
99,Cape Coral,Florida,233025
100,Norfolk,Virginia,231105
101,Spokane,Washington,230609
102,Huntsville,Alabama,230402
103,Santa Clarita,California,229159
104,Tacoma,Washington,228202
105,Fremont,California,228192
106,McKinney,Texas,227526
107,San Bernardino,California,224775
108,Baton Rouge,Louisiana,220907
109,Modesto,California,220592
110,Fontana,California,218455
111,Salt Lake City,Utah,217783
112,Moreno Valley,California,213919
113,Des Moines,Iowa,213096
114,Worcester,Massachusetts,211286
115,Yonkers,New York,211040
116,Fayetteville,North Carolina,209496
117,Sioux Falls,South Dakota,209289
118,Grand Prairie,Texas,207331
119,Rochester,New York,207282
120,Tallahassee,Florida,205089
121,Little Rock,Arkansas,204774
122,Amarillo,Texas,203729
123,Overland Park,Kansas,202893
124,Columbus,Georgia,201830
125,Augusta-Richmond County consolidated government (balance),Georgia,201737
126,Mobile,Alabama,201367
127,Oxnard,California,200616
128,Grand Rapids,Michigan,200117
129,Peoria,Arizona,199924
130,Vancouver,Washington,198992
131,Knoxville,Tennessee,198722
132,Birmingham,Alabama,196357
133,Montgomery,Alabama,195818
134,Providence,Rhode Island,194706
135,Huntington Beach,California,193151
136,Brownsville,Texas,191967
137,Chattanooga,Tennessee,191496
138,Fort Lauderdale,Florida,190641
139,Tempe,Arizona,190114
140,Akron,Ohio,189664
141,Glendale,California,187823
142,Clarksville,Tennessee,185690
143,Ontario,California,185285
144,Newport News,Virginia,183056
145,Elk Grove,California,182797
146,Cary,North Carolina,182659
147,Aurora,Illinois,180710
148,Salem,Oregon,180406
149,Pembroke Pines,Florida,179326
150,Eugene,Oregon,178786
151,Santa Rosa,California,177524
152,Rancho Cucamonga,California,176675
153,Shreveport,Louisiana,176578
154,Garden Grove,California,172361
155,Oceanside,California,170941
156,Fort Collins,Colorado,170924
157,Springfield,Missouri,170596
158,Murfreesboro,Tennessee,168387
159,Surprise,Arizona,167564
160,Lancaster,California,167426
161,Denton,Texas,165998
162,Roseville,California,163304
163,Palmdale,California,162536
164,Corona,California,161540
165,Salinas,California,160783
166,Killeen,Texas,160616
167,Paterson,New Jersey,160463
168,Alexandria,Virginia,159102
169,Hollywood,Florida,159073
170,Hayward,California,158440
171,Charleston,South Carolina,157665
172,Macon-Bibb County,Georgia,157056
173,Lakewood,Colorado,156868
174,Sunnyvale,California,156792
175,Kansas City,Kansas,156752
176,Springfield,Massachusetts,154888
177,Bellevue,Washington,154377
178,Naperville,Illinois,153124
179,Joliet,Illinois,151837
180,Bridgeport,Connecticut,151599
181,Mesquite,Texas,150140
182,Pasadena,Texas,149617
183,Olathe,Kansas,149035
184,Escondido,California,148847
185,Savannah,Georgia,148808
186,McAllen,Texas,148782
187,Gainesville,Florida,148720
188,Pomona,California,147966
189,Rockford,Illinois,147486
190,Thornton,Colorado,146689
191,Waco,Texas,146608
192,Visalia,California,146271
193,Syracuse,New York,146097
194,Columbia,South Carolina,144788
195,Midland,Texas,143687
196,Miramar,Florida,143242
197,Palm Bay,Florida,142023
198,Jackson,Mississippi,141449
